Duration,Start station number,End station number,Bike number,Member type
1673,31108,31002,W00958,Member
641,31107,31203,W00119,Member
460,31110,31201,W00855,Member
2191,31205,31200,W01059,Member
920,31201,31600,W00648,Member
386,31200,31205,W00795,Casual
832,31101,31106,W00918,Member
815,31101,31106,W00745,Member
719,31010,31008,W01124,Member
1778,31400,31101,W00363,Casual
5136,31007,31001,W01083,Casual
376,31002,31009,W00999,Casual
1541,31002,31108,W00570,Member
573,31203,31205,W00772,Member
540,31209,31108,W00872,Member
2759,31202,31600,W00930,Casual
2761,31202,31600,W00518,Casual
747,31201,31205,W00855,Casual
593,31203,31603,W00910,Member
1477,31200,31603,W00526,Member
596,31108,31209,W00332,Member
1254,31200,31600,W01059,Member
523,31000,31011,W00100,Member
616,31203,31110,W00119,Member
617,31106,31101,W00918,Member
612,31106,31101,W00745,Member
5786,31600,31110,W00491,Casual
448,31200,31201,W00993,Member
317,31110,31200,W00119,Member
4330,31205,31205,W00883,Casual
823,31203,31602,W00968,Member
123,31003,31002,W00807,Member
621,31104,31106,W00960,Member
1538,31205,31104,W00742,Member
1281,31107,31103,W01077,Casual
1525,31502,31502,W00803,Casual
1560,31401,31205,W00860,Casual
12812,31002,31002,W00538,Casual
673,31003,31003,W00822,Member
925,31600,31202,W00471,Member
578,31103,31107,W00755,Casual
668,31208,31208,W00886,Casual
1401,31101,31400,W00775,Casual
711,31600,31200,W01059,Member
88,31204,31204,W01069,Member
5196,31106,31604,W00896,Casual
633,31204,31200,W00814,Member
5031,31106,31604,W00960,Casual
4169,31009,31009,W00764,Casual
1283,31200,31207,W00814,Member
266,31111,31101,W00569,Member
174,31011,31000,W01034,Member
6432,31202,31203,W00471,Casual
6320,31202,31203,W00318,Casual
6176,31202,31203,W00829,Casual
458,31502,31500,W00803,Member
274,31002,31009,W00240,Member
253,31602,31401,W00501,Casual
573,31200,31111,W01059,Member
435,31110,31205,W00491,Member
473,31500,31502,W00803,Member
1518,31208,31204,W01007,Member
17000,31106,31104,W00194,Casual
1155,31600,31201,W00518,Casual
1126,31600,31201,W01113,Casual
477,31202,31212,W01070,Member
3864,31106,31212,W00773,Casual
372,31600,31109,W00281,Member
4323,31010,31002,W00342,Casual
516,31600,31203,W00930,Member
1361,31208,31108,W00636,Casual
953,31008,31008,W00959,Casual
409,31111,31201,W00159,Member
2028,31108,31007,W00861,Member
1707,31208,31604,W00886,Casual
3627,31100,31100,W00639,Casual
849,31212,31103,W01070,Member
1888,31600,31110,W00648,Casual
1817,31600,31110,W00928,Casual
1261,31213,31206,W00491,Member
513,31101,31103,W00838,Member
433,31100,31201,W00843,Member
1284,31203,31105,W00930,Member
1276,31203,31105,W01067,Member
1409,31604,31602,W00960,Member
331,31200,31201,W00777,Member
1336,31600,31107,W01029,Member
894,31206,31201,W00491,Member
1777,31203,31202,W00471,Member
1350,31205,31209,W00883,Casual
539,31203,31101,W00318,Member
517,31604,31604,W00896,Casual
185,31105,31103,W00868,Member
758,31205,31600,W00376,Member
375,31203,31101,W00829,Member
182,31005,31005,W01112,Casual
480,31204,31212,W00428,Casual
647,31108,31208,W00872,Casual
327,31203,31101,W00804,Member
585,31111,31203,W00415,Member
399,31110,31101,W00928,Member
377,31604,31604,W00896,Casual
6558,31109,31109,W00191,Casual
640,31101,31401,W00363,Member
930,31100,31600,W00976,Member
313,31009,31007,W00999,Casual
1074,31200,31100,W00119,Casual
830,31602,31201,W00783,Member
1453,31205,31006,W00855,Member
1208,31600,31101,W01030,Member
335,31401,31602,W00380,Casual
1527,31600,31106,W00830,Casual
2650,31012,31003,W00642,Casual
1490,31600,31106,W00377,Casual
546,31200,31201,W00805,Member
216,31000,31003,W01025,Member
2183,31009,31209,W00509,Casual
2538,31012,31003,W01006,Casual
371,31206,31100,W00039,Casual
1375,31108,31101,W01012,Member
589,31212,31201,W00773,Member
1948,31011,31209,W00816,Casual
227,31209,31209,W00332,Member
1641,31206,31110,W00905,Casual
1630,31206,31110,W00977,Casual
1557,31600,31200,W01101,Member
764,31602,31203,W00288,Member
148,31202,31203,W00471,Member
933,31104,31111,W00344,Member
944,31104,31111,W00546,Member
834,31101,31203,W00918,Member
753,31100,31203,W00833,Casual
476,31203,31101,W00563,Member
474,31108,31208,W00826,Member
1070,31107,31203,W00755,Member
531,31200,31203,W00796,Member
3593,31602,31602,W00085,Casual
1190,31600,31200,W00376,Member
677,31200,31206,W00322,Member
13645,31204,31204,W01007,Casual
259,31004,31004,W00825,Casual
358,31201,31200,W00777,Member
356,31201,31200,W00159,Member
608,31205,31200,W00492,Casual
322,31205,31100,W00795,Member
394,31201,31101,W00518,Member
1215,31203,31110,W00918,Member
1204,31203,31110,W00796,Member
630,31104,31107,W00971,Member
769,31202,31205,W00512,Member
831,31104,31105,W00577,Casual
596,31205,31110,W00772,Member
405,31111,31202,W00546,Member
1489,31203,31107,W00288,Member
2440,31100,31103,W00639,Casual
595,31100,31200,W00198,Member
337,31401,31400,W00031,Member
908,31104,31205,W00742,Member
829,31205,31201,W00557,Member
365,31202,31110,W00546,Member
1596,31200,31103,W00159,Casual
2189,31209,31011,W00509,Casual
2369,31209,31009,W00332,Casual
3126,31108,31108,W00256,Casual
236,31200,31212,W00777,Member
2904,31108,31108,W00636,Casual
181,31007,31011,W00794,Member
730,31200,31111,W00376,Member
196,31003,31000,W01066,Member
188,31111,31111,W00344,Member
355,31212,31201,W00428,Casual
202,31007,31011,W01076,Casual
507,31110,31111,W00546,Member
395,31200,31203,W01101,Member
882,31201,31600,W00428,Member
311,31101,31201,W00829,Member
847,31100,31110,W00566,Casual
812,31100,31110,W00780,Casual
359,31201,31212,W00491,Casual
1477,31203,31111,W00519,Member
1876,31100,31108,W00119,Casual
530,31212,31213,W00777,Member
921,31212,31111,W00491,Member
438,31203,31203,W00415,Member
1086,31205,31105,W00605,Member
614,31200,31201,W00289,Member
872,31200,31203,W00032,Member
244,31203,31201,W00743,Member
732,31101,31200,W00569,Member
523,31206,31200,W00555,Member
132,31203,31201,W00833,Member
443,31201,31111,W00806,Casual
398,31200,31205,W00198,Casual
298,31107,31104,W01029,Member
589,31205,31202,W01063,Member
358,31200,31203,W00492,Member
540,31105,31104,W01067,Casual
968,31203,31600,W01101,Member
426,31101,31105,W00928,Member
431,31101,31105,W01012,Member
646,31200,31106,W00555,Casual
801,31400,31101,W00338,Casual
565,31104,31203,W01067,Member
267,31007,31009,W00999,Casual
432,31103,31207,W00786,Member
117,31201,31203,W00829,Member
575,31100,31110,W00523,Casual
2008,31110,31110,W00918,Casual
1998,31110,31110,W00796,Casual
643,31201,31602,W01113,Member
665,31104,31203,W00194,Member
1014,31600,31207,W00428,Member
1396,31205,31107,W00512,Casual
654,31201,31101,W00285,Casual
1161,31205,31401,W00986,Member
835,31011,31009,W01015,Casual
138,31011,31011,W01097,Member
725,31011,31009,W00509,Casual
5056,31201,31200,W00289,Casual
472,31111,31207,W01059,Member
1007,31201,31600,W00557,Member
555,31602,31400,W00968,Casual
477,31201,31200,W00993,Member
324,31205,31200,W00860,Casual
509,31201,31201,W00743,Casual
1991,31202,31002,W00142,Member
438,31000,31001,W00853,Member
1937,31005,31201,W01000,Member
788,31106,31106,W00555,Member
652,31004,31006,W00821,Member
1035,31105,31205,W00752,Member
357,31005,31000,W01093,Member
623,31007,31004,W00897,Member
455,31200,31204,W00289,Member
265,31009,31011,W00840,Casual
204,31009,31011,W00240,Casual
210,31004,31006,W00897,Member
283,31006,31004,W00821,Member
1281,31107,31110,W00971,Member
281,31200,31212,W00569,Member
673,31203,31104,W00032,Member
118,31007,31002,W00278,Member
1187,31107,31205,W00869,Casual
224,31401,31602,W00856,Casual
323,31103,31101,W01070,Member
984,31201,31603,W00783,Member
723,31400,31101,W00968,Member
398,31200,31205,W00860,Member
478,31207,31101,W00428,Member
120,31202,31203,W01063,Member
481,31203,31100,W00415,Member
490,31401,31101,W00363,Member
751,31103,31212,W00848,Member
773,31604,31213,W00886,Member
911,31111,31206,W00546,Member
1296,31111,31206,W00519,Member
391,31103,31101,W00479,Member
868,31110,31100,W00523,Casual
361,31212,31204,W00569,Casual
726,31600,31205,W00557,Member
1370,31108,31212,W00119,Member
443,31107,31101,W00512,Member
657,31104,31100,W00032,Member
385,31101,31200,W01070,Member
221,31104,31106,W01029,Member
593,31101,31200,W01030,Member
669,31201,31205,W00987,Member
3181,31201,31208,W01000,Casual
334,31203,31200,W01067,Member
495,31111,31200,W00806,Member
945,31106,31602,W00555,Member
1177,31203,31400,W00492,Member
816,31602,31212,W00380,Member
665,31101,31213,W00338,Member
630,31110,31100,W00772,Member
670,31103,31100,W01077,Casual
1055,31205,31104,W00742,Member
1051,31603,31213,W00955,Member
691,31203,31600,W00948,Member
329,31203,31200,W00285,Member
301,31101,31203,W00318,Member
138,31111,31109,W00472,Member
837,31105,31201,W00858,Member
707,31106,31101,W00377,Member
403,31201,31200,W00743,Member
593,31111,31200,W00491,Member
207,31104,31106,W00742,Member
904,31201,31600,W00833,Member
331,31107,31104,W00288,Member
453,31009,31002,W00735,Casual
4871,31006,31006,W01039,Casual
956,31107,31200,W00828,Casual
429,31207,31101,W01059,Member
678,31103,31104,W00339,Member
1028,31206,31600,W00885,Member
538,31103,31200,W00580,Member
313,31203,31200,W00318,Member
280,31801,31802,W00970,Member
814,31101,31600,W00377,Member
31948,31201,31213,W00805,Member
551,31203,31205,W01063,Member
525,31213,31600,W00614,Member
732,31111,31200,W01110,Member
440,31200,31205,W00828,Casual
1006,31600,31100,W00833,Member
598,31101,31213,W00968,Member
627,31109,31213,W00334,Member
1021,31110,31100,W00905,Casual
1012,31110,31100,W00977,Casual
1129,31103,31205,W00838,Member
236,31111,31101,W00344,Member
204,31111,31101,W00376,Member
479,31105,31201,W00577,Member
269,31007,31004,W00368,Member
174,31004,31007,W00821,Member
3738,31201,31213,W00858,Casual
3570,31201,31213,W00773,Casual
625,31203,31600,W00755,Member
23620,31100,31204,W00905,Casual
442,31201,31213,W00615,Member
23549,31100,31204,W00523,Casual
346,31203,31200,W00194,Member
1419,31100,31208,W01077,Casual
792,31101,31200,W00479,Member
3212,31008,31204,W00637,Casual
7975,31011,31011,W00240,Casual
2327,31003,31003,W01006,Member
229,31007,31011,W00861,Casual
347,31004,31012,W00825,Member
3566,31012,31011,W00707,Member
225,31100,31100,W00415,Member
2387,31109,31213,W00811,Member
224,31202,31101,W01057,Member
449,31110,31205,W00648,Member
798,31009,31000,W00799,Member
337,31011,31004,W00100,Member
732,31213,31600,W00777,Member
2282,31400,31213,W00492,Casual
321,31200,31212,W01030,Member
1212,31207,31205,W00814,Member
1933,31206,31200,W00546,Casual
144,31000,31011,W00978,Member
686,31000,31012,W01066,Member
786,31600,31212,W01101,Casual
741,31002,31009,W01079,Member
2861,31200,31212,W00479,Casual
297,31101,31111,W01059,Member
294,31101,31111,W00344,Member
874,31107,31111,W00437,Member
155,31011,31011,W00978,Member
940,31011,31011,W00861,Casual
956,31600,31600,W00885,Member
762,31007,31001,W00824,Member
1159,31201,31600,W00843,Casual
1162,31011,31011,W00978,Member
569,31200,31101,W00318,Member
1246,31007,31011,W01041,Member
701,31205,31201,W00830,Member
680,31011,31011,W00861,Member
1070,31203,31203,W00471,Member
808,31212,31600,W00380,Casual
177,31011,31000,W01076,Member
171,31011,31000,W00840,Member
280,31208,31208,W01000,Member
191,31011,31011,W00978,Member
457,31011,31007,W00760,Member
3623,31104,31604,W00339,Casual
3580,31104,31604,W00347,Casual
1409,31106,31200,W00903,Member
10226,31604,31604,W00896,Casual
311,31011,31007,W00240,Member
310,31011,31007,W01097,Member
7386,31003,31003,W01025,Casual
2656,31201,31206,W00830,Casual
7933,31604,31606,W00540,Member
68,31000,31007,W00819,Member
544,31204,31110,W00289,Member
294,31007,31004,W00134,Member
288,31007,31004,W01097,Member
3008,31103,31213,W00868,Casual
788,31106,31201,W00742,Casual
626,31203,31110,W00829,Member
186,31004,31007,W01097,Member
524,31205,31200,W00869,Casual
132,31004,31007,W00100,Member
852,31213,31213,W00492,Member
9067,31009,31012,W00332,Casual
8984,31009,31012,W01079,Casual
392,31204,31212,W00048,Member
1167,31104,31213,W00353,Casual
1029,31110,31200,W00780,Casual
323,31007,31011,W00100,Member
308,31007,31011,W00819,Member
979,31000,31000,W01093,Casual
200,31003,31008,W01016,Casual
742,31213,31101,W00615,Casual
281,31105,31101,W01012,Member
728,31000,31000,W00799,Casual
785,31003,31006,W00822,Casual
737,31200,31100,W01067,Member
1101,31000,31005,W01076,Casual
1417,31213,31103,W00868,Casual
585,31200,31111,W00806,Member
873,31605,31607,W00549,Casual
339,31602,31400,W00640,Casual
718,31212,31204,W00048,Member
660,31600,31203,W00843,Member
1946,31205,31605,W00828,Member
14721,31212,31212,W00479,Casual
844,31004,31010,W00354,Casual
1094,31205,31213,W00838,Member
12546,31604,31203,W00347,Casual
755,31201,31600,W00577,Member
14598,31212,31212,W00848,Casual
1654,31110,31212,W00796,Member
841,31607,31208,W00808,Casual
306,31604,31600,W00635,Member
296,31604,31600,W00339,Member
356,31005,31007,W01024,Casual
332,31600,31604,W00614,Member
309,31600,31604,W00976,Member
615,31604,31109,W00482,Member
11463,31205,31205,W00557,Casual
1803,31101,31400,W00911,Casual
4529,31002,31107,W00642,Casual
557,31202,31213,W00943,Member
744,31213,31100,W00968,Member
387,31213,31213,W00811,Member
528,31103,31200,W00868,Member
440,31200,31205,W00491,Casual
330,31400,31602,W00775,Casual
322,31602,31401,W01113,Casual
5992,31109,31200,W00191,Casual
1063,31605,31600,W00418,Member
767,31103,31103,W00767,Member
432,31110,31205,W00289,Member
416,31212,31110,W01101,Member
1062,31205,31108,W00987,Member
636,31208,31605,W00826,Casual
381,31213,31201,W00811,Member
549,31101,31103,W00428,Member
786,31600,31207,W00418,Member
539,31104,31111,W00288,Member
244,31109,31111,W00472,Member
632,31200,31101,W00868,Casual
2447,31212,31212,W00119,Casual
815,31104,31205,W00543,Member
827,31103,31213,W00767,Casual
1776,31802,31801,W01049,Member
2135,31011,31209,W00100,Casual
208,31212,31200,W01030,Member
5063,31200,31200,W00743,Member
1615,31600,31003,W00777,Casual
422,31007,31011,W00821,Member
1008,31400,31600,W00031,Member
6464,31212,31110,W00290,Casual
626,31600,31201,W00377,Member
978,31600,31205,W00885,Member
1407,31213,31600,W00767,Casual
6125,31212,31110,W00796,Casual
1434,31205,31201,W00289,Casual
294,31106,31104,W01029,Casual
3567,31103,31106,W00428,Casual
7580,31003,31003,W01025,Casual
3504,31103,31106,W00159,Casual
7394,31003,31003,W01006,Casual
419,31605,31607,W00642,Member
984,31111,31107,W01059,Member
303,31002,31009,W00958,Member
198,31003,31008,W00777,Casual
721,31604,31201,W00614,Member
1016,31104,31111,W01029,Casual
3585,31009,31009,W00958,Casual
5833,31204,31204,W00931,Casual
486,31213,31201,W00838,Member
443,31212,31203,W00119,Member
5473,31204,31204,W00569,Casual
479,31105,31201,W01081,Member
708,31200,31111,W00780,Member
5138,31201,31605,W00838,Casual
815,31205,31600,W00885,Member
553,31602,31106,W00085,Member
809,31101,31212,W00745,Member
6564,31213,31103,W00773,Casual
171,31204,31204,W01069,Member
628,31213,31101,W00943,Member
814,31607,31209,W00439,Member
534,31204,31212,W01007,Casual
930,31100,31600,W00415,Member
1496,31204,31111,W00637,Member
534,31103,31107,W00639,Member
560,31202,31104,W00556,Member
1122,31203,31105,W00340,Member
253,31000,31003,W01034,Member
468,31202,31201,W00508,Member
1510,31213,31103,W00805,Casual
387,31200,31203,W00903,Member
473,31100,31201,W01050,Member
393,31200,31201,W00546,Member
432,31108,31209,W00987,Member
176,31104,31106,W00556,Member
953,31201,31200,W00742,Member
535,31205,31200,W00491,Casual
805,31600,31101,W00031,Member
1028,31603,31202,W00526,Member
1544,31213,31605,W00955,Casual
1128,31600,31101,W00577,Member
776,31213,31604,W00338,Member
1427,31400,31200,W00911,Casual
359,31204,31212,W00048,Member
757,31110,31200,W00829,Member
326,31110,31200,W00566,Member
705,31205,31201,W00860,Casual
935,31110,31107,W00918,Member
752,31101,31106,W00318,Member
665,31600,31200,W01084,Member
503,31201,31111,W00377,Member
276,31109,31111,W00850,Member
984,31203,31400,W00347,Member
758,31200,31104,W00194,Member
1235,31106,31106,W00159,Member
313,31213,31212,W00858,Member
716,31103,31110,W00805,Member
1179,31204,31600,W01069,Member
757,31605,31605,W00838,Casual
766,31201,31212,W01081,Casual
373,31105,31207,W00559,Member
372,31105,31111,W00426,Member
407,31200,31201,W00911,Member
251,31111,31202,W00288,Member
349,31213,31205,W00353,Member
315,31107,31104,W00729,Member
334,31010,31009,W00996,Casual
781,31212,31204,W00048,Member
468,31101,31104,W00577,Member
765,31202,31105,W00288,Member
624,31201,31600,W00911,Member
882,31203,31401,W00119,Member
102,31203,31201,W00471,Member
885,31602,31602,W00562,Casual
738,31106,31602,W00159,Casual
932,31205,31201,W00353,Member
1788,31606,31108,W00540,Casual
979,31205,31104,W00543,Member
563,31203,31101,W00843,Member
485,31106,31602,W00085,Member
1459,31008,31001,W01119,Casual
1328,31008,31001,W00777,Casual
787,31200,31101,W01030,Member
560,31205,31110,W00557,Member
831,31111,31103,W00032,Member
721,31600,31201,W00911,Member
666,31200,31101,W01110,Member
1196,31213,31103,W00886,Casual
714,31600,31203,W01069,Casual
664,31600,31203,W00635,Casual
631,31202,31202,W00724,Member
819,31201,31104,W00508,Member
4492,31108,31200,W00570,Casual
1109,31101,31500,W00868,Member
510,31605,31605,W00563,Member
1392,31212,31401,W00745,Member
41122,31212,31603,W00479,Casual
8676,31001,31008,W01083,Casual
8668,31001,31008,W01033,Casual
303,31200,31212,W00191,Member
3831,31600,31600,W00767,Casual
400,31101,31101,W00376,Member
284,31104,31105,W00577,Member
196,31101,31111,W00031,Member
549,31201,31101,W00860,Member
550,31111,31600,W00437,Casual
1114,31600,31108,W00755,Member
1109,31600,31108,W00380,Member
349,31105,31207,W00211,Member
1825,31200,31400,W00743,Casual
384,31205,31200,W00476,Casual
794,31104,31103,W00508,Member
1331,31209,31600,W00100,Member
